timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715124074170,3088,SignIn,200,OK,Education 1-3,text,true,,492,352,52,276,http://localhost:60968/authentication/authentication/signin,3087,0,30
1715124074169,3882,SignIn,200,OK,Education 1-5,text,true,,492,352,63,372,http://localhost:60968/authentication/authentication/signin,3882,0,29
1715124077266,878,AddEducation,200,OK,Education 1-3,text,true,,207,696,64,382,http://localhost:60190/profile/profile/addEducation,878,0,1
1715124078052,887,AddEducation,200,OK,Education 1-5,text,true,,207,696,76,478,http://localhost:60190/profile/profile/addEducation,886,0,1
1715124078145,1701,UpdateEducation,200,OK,Education 1-3,text,true,,218,734,90,588,http://localhost:60190/profile/profile/updateEducation,1701,0,0
1715124074154,5741,SignIn,200,OK,Education 1-4,text,true,,492,352,91,593,http://localhost:60968/authentication/authentication/signin,5741,0,45
1715124079847,274,DeleteEducation,200,OK,Education 1-3,text,true,,218,594,94,620,http://localhost:60190/profile/profile/deleteEducation,274,0,0
1715124080128,9,SignOut,200,OK,Education 1-3,text,true,,2021,120,94,622,http://localhost:5000/Home,9,0,1
1715124079897,356,AddEducation,200,OK,Education 1-4,text,true,,207,696,95,635,http://localhost:60190/profile/profile/addEducation,356,0,1
1715124078939,1670,UpdateEducation,200,OK,Education 1-5,text,true,,218,734,100,677,http://localhost:60190/profile/profile/updateEducation,1670,0,0
1715124080610,278,DeleteEducation,200,OK,Education 1-5,text,true,,218,594,105,712,http://localhost:60190/profile/profile/deleteEducation,278,0,0
1715124080889,5,SignOut,200,OK,Education 1-5,text,true,,2021,120,105,712,http://localhost:5000/Home,5,0,1
1715124080254,1413,UpdateEducation,200,OK,Education 1-4,text,true,,218,734,115,805,http://localhost:60190/profile/profile/updateEducation,1412,0,0
1715124081667,272,DeleteEducation,200,OK,Education 1-4,text,true,,218,594,119,837,http://localhost:60190/profile/profile/deleteEducation,272,0,0
1715124081940,4,SignOut,200,OK,Education 1-4,text,true,,2021,120,119,838,http://localhost:5000/Home,4,0,1
1715124074167,14319,SignIn,200,OK,Education 1-1,text,true,,492,352,214,1621,http://localhost:60968/authentication/authentication/signin,14319,0,33
1715124088487,583,AddEducation,200,OK,Education 1-1,text,true,,207,696,223,1693,http://localhost:60190/profile/profile/addEducation,583,0,0
1715124089070,1393,UpdateEducation,200,OK,Education 1-1,text,true,,218,734,244,1864,http://localhost:60190/profile/profile/updateEducation,1393,0,0
1715124090466,273,DeleteEducation,200,OK,Education 1-1,text,true,,218,594,248,1897,http://localhost:60190/profile/profile/deleteEducation,273,0,0
1715124090740,4,SignOut,200,OK,Education 1-1,text,true,,2021,120,248,1897,http://localhost:5000/Home,4,0,0
1715124074213,23285,SignIn,200,OK,Education 1-6,text,true,,492,352,296,2396,http://localhost:60968/authentication/authentication/signin,23284,0,1
1715124074170,23329,SignIn,200,OK,Education 1-2,text,true,,492,352,296,2396,http://localhost:60968/authentication/authentication/signin,23329,0,34
1715124097501,607,AddEducation,200,OK,Education 1-2,text,true,,207,696,296,2396,http://localhost:60190/profile/profile/addEducation,607,0,1
1715124097501,897,AddEducation,200,OK,Education 1-6,text,true,,207,696,296,2396,http://localhost:60190/profile/profile/addEducation,897,0,1
1715124098109,868,UpdateEducation,200,OK,Education 1-2,text,true,,223,734,296,2396,http://localhost:60190/profile/profile/updateEducation,868,0,0
1715124098978,278,DeleteEducation,200,OK,Education 1-2,text,true,,218,594,296,2396,http://localhost:60190/profile/profile/deleteEducation,278,0,0
1715124099257,8,SignOut,200,OK,Education 1-2,text,true,,2021,120,296,2396,http://localhost:5000/Home,8,0,2
1715124098399,1426,UpdateEducation,200,OK,Education 1-6,text,true,,218,734,295,2395,http://localhost:60190/profile/profile/updateEducation,1426,0,0
1715124099826,276,DeleteEducation,200,OK,Education 1-6,text,true,,218,594,295,2395,http://localhost:60190/profile/profile/deleteEducation,276,0,0
1715124100103,4,SignOut,200,OK,Education 1-6,text,true,,2021,120,295,2395,http://localhost:5000/Home,4,0,0
